Marque;Série;Modèle;Type de réparation;Qualité;Prix Standard (€)
Apple;iPhone;iPhone 6;Écran;Compatible;40
Apple;iPhone;iPhone 6;Châssis;Compatible;60
Apple;iPhone;iPhone 6S;Écran;Compatible;40
Apple;iPhone;iPhone 6S;Châssis;Compatible;60
Apple;iPhone;iPhone 6S Plus;Écran;Compatible;40
Apple;iPhone;iPhone 6S Plus;Châssis;Compatible;60
Apple;iPhone;iPhone SE 2016;Écran;Compatible;40
Apple;iPhone;iPhone SE 2016;Châssis;Compatible;50
Apple;iPhone;iPhone 7;Écran;Compatible;40
Apple;iPhone;iPhone 7;Châssis;Compatible;60
Apple;iPhone;iPhone 7 Plus;Écran;Compatible;50
Apple;iPhone;iPhone 7 Plus;Châssis;Compatible;70
Apple;iPhone;iPhone 8;Écran;Compatible;50
Apple;iPhone;iPhone 8;Châssis;Compatible;80
Apple;iPhone;iPhone 8 Plus;Écran;Compatible;60
Apple;iPhone;iPhone 8 Plus;Châssis;Compatible;90
Apple;iPhone;iPhone X;Écran;Compatible;60
Apple;iPhone;iPhone X;Écran;Origine;120
Apple;iPhone;iPhone X;Châssis;Compatible;110
Apple;iPhone;iPhone XS;Écran;Compatible;60
Apple;iPhone;iPhone XS;Écran;Origine;120
Apple;iPhone;iPhone XS;Châssis;Compatible;110
Apple;iPhone;iPhone XS Max;Écran;Compatible;70
Apple;iPhone;iPhone XS Max;Écran;Origine;130
Apple;iPhone;iPhone XS Max;Châssis;Compatible;120
Apple;iPhone;iPhone XR;Écran;Compatible;70
Apple;iPhone;iPhone XR;Écran;Origine;100
Apple;iPhone;iPhone XR;Châssis;Compatible;110
Apple;iPhone;iPhone SE 2020;Écran;Compatible;40
Apple;iPhone;iPhone SE 2020;Écran;Origine;80
Apple;iPhone;iPhone SE 2020;Châssis;Compatible;80
Apple;iPhone;iPhone 11;Écran;Compatible;70
Apple;iPhone;iPhone 11;Écran;Origine;100
Apple;iPhone;iPhone 11;Châssis;Compatible;120
Apple;iPhone;iPhone 11 Pro;Écran;Compatible;70
